benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0067,LOF,0.5596,0.4317,0.3753
wine_benchmark_0067,PCA,0.5542,0.4345,0.007
wine_benchmark_0067,LODA,0.5718,0.4515,0.053
wine_benchmark_0068,KNN,0.5529,0.4217,0.4624
wine_benchmark_0068,LOF,0.5639,0.4297,0.3533
wine_benchmark_0068,PCA,0.5533,0.4341,0.006
wine_benchmark_0068,LODA,0.642,0.5055,0.039
wine_benchmark_0069,KNN,0.558,0.4188,0.4824
wine_benchmark_0069,LOF,0.5544,0.418,0.3668
wine_benchmark_0069,PCA,0.5454,0.4136,0.007
wine_benchmark_0069,LODA,0.6212,0.4653,0.046
wine_benchmark_0070,KNN,0.5549,0.4252,0.4669
wine_benchmark_0070,LOF,0.5599,0.4237,0.3548
wine_benchmark_0070,PCA,0.5574,0.4382,0.005
wine_benchmark_0070,LODA,0.5537,0.4337,0.046
wine_benchmark_0071,KNN,0.5539,0.427,0.4309
wine_benchmark_0071,LOF,0.5752,0.4319,0.3373
wine_benchmark_0071,PCA,0.5512,0.4244,0.006
wine_benchmark_0071,LODA,0.5663,0.423,0.041
wine_benchmark_0072,KNN,0.5534,0.4251,0.4555
wine_benchmark_0072,LOF,0.5564,0.4316,0.3402
wine_benchmark_0072,PCA,0.5447,0.4348,0.006
wine_benchmark_0072,LODA,0.5276,0.4135,0.046
wine_benchmark_0073,KNN,0.5509,0.4304,0.4504
wine_benchmark_0073,LOF,0.5548,0.4283,0.3483
wine_benchmark_0073,PCA,0.5522,0.4384,0.008
wine_benchmark_0073,LODA,0.5451,0.4196,0.048
wine_benchmark_0074,KNN,0.5402,0.4127,0.4421
wine_benchmark_0074,LOF,0.5576,0.4272,0.3302
wine_benchmark_0074,PCA,0.5478,0.4229,0.006
wine_benchmark_0074,LODA,0.4744,0.3483,0.042
wine_benchmark_0075,KNN,0.5721,0.4307,0.4439
wine_benchmark_0075,LOF,0.5644,0.4156,0.3343
wine_benchmark_0075,PCA,0.552,0.4196,0.006
wine_benchmark_0075,LODA,0.5828,0.4437,0.049
wine_benchmark_0076,KNN,0.5678,0.4269,0.4684
wine_benchmark_0076,LOF,0.5736,0.43,0.3438
wine_benchmark_0076,PCA,0.5595,0.4155,0.006
wine_benchmark_0076,LODA,0.5029,0.3695,0.04
wine_benchmark_0077,KNN,0.5476,0.4298,0.4474
wine_benchmark_0077,LOF,0.5664,0.4333,0.3458
wine_benchmark_0077,PCA,0.5531,0.4376,0.0052
wine_benchmark_0077,LODA,0.5732,0.4567,0.0433
wine_benchmark_0078,KNN,0.5421,0.4157,0.4619
wine_benchmark_0078,LOF,0.5576,0.412,0.3804
wine_benchmark_0078,PCA,0.55,0.4216,0.007
