benchmark_id,Model,ROC,precision at rank n,execution time
imgseg_benchmark_0045,PCA,0.6511,0.5392,0.002
imgseg_benchmark_0045,LODA,0.3496,0.3216,0.023
imgseg_benchmark_0046,KNN,0.4657,0.3922,0.1021
imgseg_benchmark_0046,LOF,0.4819,0.435,0.0581
imgseg_benchmark_0046,PCA,0.6332,0.5165,0.003
imgseg_benchmark_0046,LODA,0.6301,0.5331,0.023
imgseg_benchmark_0047,KNN,0.4925,0.3901,0.1041
imgseg_benchmark_0047,LOF,0.5295,0.4465,0.054
imgseg_benchmark_0047,PCA,0.6514,0.5318,0.003
imgseg_benchmark_0047,LODA,0.6033,0.5441,0.02
imgseg_benchmark_0048,KNN,0.4549,0.3954,0.1031
imgseg_benchmark_0048,LOF,0.5052,0.4533,0.053
imgseg_benchmark_0048,PCA,0.6068,0.5266,0.003
imgseg_benchmark_0048,LODA,0.5307,0.4829,0.02
imgseg_benchmark_0049,KNN,0.4621,0.3908,0.1168
imgseg_benchmark_0049,LOF,0.4843,0.4272,0.053
imgseg_benchmark_0049,PCA,0.6264,0.523,0.003
imgseg_benchmark_0049,LODA,0.5546,0.5096,0.023
imgseg_benchmark_0050,KNN,0.5113,0.3841,0.1067
imgseg_benchmark_0050,LOF,0.4914,0.4017,0.049
imgseg_benchmark_0050,PCA,0.6533,0.5407,0.003
imgseg_benchmark_0050,LODA,0.5764,0.5052,0.021
imgseg_benchmark_0051,KNN,0.4773,0.4196,0.1041
imgseg_benchmark_0051,LOF,0.4874,0.4658,0.0561
imgseg_benchmark_0051,PCA,0.6367,0.549,0.003
imgseg_benchmark_0051,LODA,0.5669,0.5268,0.021
imgseg_benchmark_0052,KNN,0.4783,0.3942,0.0991
imgseg_benchmark_0052,LOF,0.4837,0.417,0.049
imgseg_benchmark_0052,PCA,0.6427,0.5166,0.002
imgseg_benchmark_0052,LODA,0.5153,0.4627,0.021
imgseg_benchmark_0053,KNN,0.456,0.3928,0.101
imgseg_benchmark_0053,LOF,0.4549,0.4345,0.0551
imgseg_benchmark_0053,PCA,0.615,0.5085,0.003
imgseg_benchmark_0053,LODA,0.6074,0.5256,0.025
imgseg_benchmark_0054,KNN,0.5045,0.3866,0.1062
imgseg_benchmark_0054,LOF,0.4814,0.3909,0.0495
imgseg_benchmark_0054,PCA,0.6504,0.5313,0.003
imgseg_benchmark_0054,LODA,0.6369,0.5616,0.022
imgseg_benchmark_0055,KNN,0.4887,0.3737,0.1021
imgseg_benchmark_0055,LOF,0.5155,0.4383,0.0571
imgseg_benchmark_0055,PCA,0.6216,0.4969,0.003
imgseg_benchmark_0055,LODA,0.5745,0.5359,0.02
imgseg_benchmark_0056,KNN,0.4758,0.4215,0.1023
imgseg_benchmark_0056,LOF,0.4847,0.4253,0.054
imgseg_benchmark_0056,PCA,0.6345,0.5517,0.003
imgseg_benchmark_0056,LODA,0.3835,0.3736,0.021
imgseg_benchmark_0057,KNN,0.4965,0.3948,0.1011
imgseg_benchmark_0057,LOF,0.4873,0.4248,0.052
imgseg_benchmark_0057,PCA,0.6382,0.5251,0.003
imgseg_benchmark_0057,LODA,0.4193,0.3647,0.022
imgseg_benchmark_0058,KNN,0.4848,0.4059,0.1021
imgseg_benchmark_0058,LOF,0.4859,0.4235,0.054
imgseg_benchmark_0058,PCA,0.6656,0.5549,0.003
imgseg_benchmark_0058,LODA,0.6632,0.6137,0.023
imgseg_benchmark_0059,KNN,0.4743,0.4117,0.0991
imgseg_benchmark_0059,LOF,0.4808,0.4408,0.0561
imgseg_benchmark_0059,PCA,0.6373,0.534,0.003
imgseg_benchmark_0059,LODA,0.6102,0.5068,0.019
imgseg_benchmark_0060,KNN,0.4896,0.3816,0.1011
imgseg_benchmark_0060,LOF,0.5006,0.4224,0.053
imgseg_benchmark_0060,PCA,0.6534,0.5388,0.002
imgseg_benchmark_0060,LODA,0.597,0.498,0.022
imgseg_benchmark_0061,KNN,0.4832,0.4059,0.1061
imgseg_benchmark_0061,LOF,0.4772,0.4119,0.052
imgseg_benchmark_0061,PCA,0.6358,0.5287,0.003
imgseg_benchmark_0061,LODA,0.4092,0.3109,0.022
imgseg_benchmark_0062,KNN,0.4595,0.3902,0.1046
imgseg_benchmark_0062,LOF,0.4773,0.4216,0.054
imgseg_benchmark_0062,PCA,0.6386,0.5392,0.003
imgseg_benchmark_0062,LODA,0.5908,0.4902,0.019
imgseg_benchmark_0063,KNN,0.4949,0.3931,0.1031
imgseg_benchmark_0063,LOF,0.5181,0.4196,0.051
imgseg_benchmark_0063,PCA,0.656,0.5479,0.003
imgseg_benchmark_0063,LODA,0.4238,0.3327,0.025
imgseg_benchmark_0064,KNN,0.4844,0.4389,0.1051
imgseg_benchmark_0064,LOF,0.493,0.4593,0.0581
imgseg_benchmark_0064,PCA,0.6468,0.5519,0.003
imgseg_benchmark_0064,LODA,0.6405,0.5537,0.021
imgseg_benchmark_0065,KNN,0.4517,0.3762,0.1061
imgseg_benchmark_0065,LOF,0.5012,0.4483,0.0561
imgseg_benchmark_0065,PCA,0.6442,0.5419,0.002
imgseg_benchmark_0065,LODA,0.5075,0.46,0.02
imgseg_benchmark_0066,KNN,0.4549,0.4167,0.0993
imgseg_benchmark_0066,LOF,0.4783,0.4418,0.052
imgseg_benchmark_0066,PCA,0.6222,0.5305,0.003
imgseg_benchmark_0066,LODA,0.5548,0.5287,0.02
imgseg_benchmark_0067,KNN,0.4986,0.4286,0.0991
imgseg_benchmark_0067,LOF,0.4788,0.4381,0.05
imgseg_benchmark_0067,PCA,0.6607,0.5676,0.003
imgseg_benchmark_0067,LODA,0.6096,0.5752,0.02
imgseg_benchmark_0068,KNN,0.4887,0.4201,0.1036
imgseg_benchmark_0068,LOF,0.513,0.4406,0.0495
imgseg_benchmark_0068,PCA,0.641,0.5246,0.003
imgseg_benchmark_0068,LODA,0.3593,0.3238,0.021
imgseg_benchmark_0069,KNN,0.467,0.3823,0.0991
imgseg_benchmark_0069,LOF,0.4793,0.4105,0.0551
imgseg_benchmark_0069,PCA,0.6229,0.499,0.003
imgseg_benchmark_0069,LODA,0.6971,0.5956,0.019
imgseg_benchmark_0070,KNN,0.4711,0.3837,0.097
imgseg_benchmark_0070,LOF,0.4828,0.4135,0.0561
imgseg_benchmark_0070,PCA,0.6564,0.5567,0.003
imgseg_benchmark_0070,LODA,0.6457,0.5865,0.022
imgseg_benchmark_0071,KNN,0.4924,0.4043,0.0991
imgseg_benchmark_0071,LOF,0.5157,0.4492,0.052
imgseg_benchmark_0071,PCA,0.6455,0.5352,0.003
imgseg_benchmark_0071,LODA,0.5658,0.5234,0.02
imgseg_benchmark_0072,KNN,0.4762,0.4124,0.0991
imgseg_benchmark_0072,LOF,0.4978,0.4614,0.05
imgseg_benchmark_0072,PCA,0.6336,0.5367,0.002
imgseg_benchmark_0072,LODA,0.503,0.4727,0.023
imgseg_benchmark_0073,KNN,0.4493,0.3955,0.0941
imgseg_benchmark_0073,LOF,0.4665,0.4339,0.05
imgseg_benchmark_0073,PCA,0.6403,0.5642,0.003
imgseg_benchmark_0073,LODA,0.572,0.5587,0.021
imgseg_benchmark_0074,KNN,0.4618,0.4384,0.0941
imgseg_benchmark_0074,LOF,0.4834,0.4478,0.051
imgseg_benchmark_0074,PCA,0.654,0.5522,0.003
imgseg_benchmark_0074,LODA,0.6832,0.6194,0.023
imgseg_benchmark_0075,KNN,0.466,0.3691,0.1011
imgseg_benchmark_0075,LOF,0.4793,0.4124,0.055
imgseg_benchmark_0075,PCA,0.6451,0.5196,0.003
imgseg_benchmark_0075,LODA,0.514,0.4309,0.02
imgseg_benchmark_0076,KNN,0.4718,0.3816,0.1015
imgseg_benchmark_0076,LOF,0.5285,0.449,0.0526
imgseg_benchmark_0076,PCA,0.6344,0.5306,0.002
imgseg_benchmark_0076,LODA,0.6462,0.5714,0.022
imgseg_benchmark_0077,KNN,0.4889,0.3936,0.0971
imgseg_benchmark_0077,LOF,0.488,0.4217,0.049
imgseg_benchmark_0077,PCA,0.6554,0.5422,0.003
imgseg_benchmark_0077,LODA,0.615,0.5261,0.021
imgseg_benchmark_0078,KNN,0.4328,0.3856,0.1031
imgseg_benchmark_0078,LOF,0.4671,0.4216,0.054
imgseg_benchmark_0078,PCA,0.6413,0.5595,0.003
imgseg_benchmark_0078,LODA,0.5584,0.5388,0.02
imgseg_benchmark_0079,KNN,0.4928,0.4223,0.1001
imgseg_benchmark_0079,LOF,0.498,0.4415,0.05
imgseg_benchmark_0079,PCA,0.65,0.5393,0.003
imgseg_benchmark_0079,LODA,0.5573,0.4146,0.023
imgseg_benchmark_0080,KNN,0.4739,0.4015,0.0991
imgseg_benchmark_0080,LOF,0.4947,0.4532,0.052
imgseg_benchmark_0080,PCA,0.622,0.5335,0.003
imgseg_benchmark_0080,LODA,0.6797,0.6176,0.022
imgseg_benchmark_0081,KNN,0.4601,0.3938,0.0976
imgseg_benchmark_0081,LOF,0.489,0.4363,0.054
imgseg_benchmark_0081,PCA,0.6634,0.5579,0.003
imgseg_benchmark_0081,LODA,0.5194,0.473,0.02
imgseg_benchmark_0082,KNN,0.4974,0.3901,0.1031
imgseg_benchmark_0082,LOF,0.4911,0.3984,0.054
imgseg_benchmark_0082,PCA,0.6469,0.5298,0.003
imgseg_benchmark_0082,LODA,0.6481,0.5955,0.02
imgseg_benchmark_0083,KNN,0.4645,0.3923,0.1091
imgseg_benchmark_0083,LOF,0.5031,0.4519,0.055
imgseg_benchmark_0083,PCA,0.6338,0.5423,0.002
imgseg_benchmark_0083,LODA,0.641,0.5615,0.02
imgseg_benchmark_0084,KNN,0.4858,0.4146,0.0991
imgseg_benchmark_0084,LOF,0.495,0.4126,0.05
imgseg_benchmark_0084,PCA,0.663,0.5366,0.003
imgseg_benchmark_0084,LODA,0.4828,0.3272,0.021
imgseg_benchmark_0085,KNN,0.4903,0.4139,0.0981
imgseg_benchmark_0085,LOF,0.5211,0.4662,0.052
imgseg_benchmark_0085,PCA,0.6602,0.5629,0.003
imgseg_benchmark_0085,LODA,0.3021,0.2534,0.02
imgseg_benchmark_0086,KNN,0.4658,0.4173,0.0981
imgseg_benchmark_0086,LOF,0.4804,0.4323,0.054
imgseg_benchmark_0086,PCA,0.6575,0.5602,0.003
imgseg_benchmark_0086,LODA,0.4551,0.4906,0.019
imgseg_benchmark_0087,KNN,0.4632,0.4247,0.1001
imgseg_benchmark_0087,LOF,0.4725,0.448,0.05
imgseg_benchmark_0087,PCA,0.6404,0.5663,0.003
imgseg_benchmark_0087,LODA,0.6289,0.5538,0.02
imgseg_benchmark_0088,KNN,0.4759,0.4065,0.1011
imgseg_benchmark_0088,LOF,0.4783,0.4256,0.051
imgseg_benchmark_0088,PCA,0.6529,0.5553,0.003
imgseg_benchmark_0088,LODA,0.4995,0.4656,0.021
imgseg_benchmark_0089,KNN,0.4889,0.4197,0.0991
imgseg_benchmark_0089,LOF,0.5023,0.44,0.0501
imgseg_benchmark_0089,PCA,0.6592,0.542,0.002
imgseg_benchmark_0089,LODA,0.4932,0.484,0.02
imgseg_benchmark_0090,KNN,0.515,0.3825,0.1051
imgseg_benchmark_0090,LOF,0.5039,0.4124,0.054
imgseg_benchmark_0090,PCA,0.6535,0.5192,0.003
imgseg_benchmark_0090,LODA,0.6542,0.5299,0.026
imgseg_benchmark_0091,KNN,0.4789,0.398,0.0991
imgseg_benchmark_0091,LOF,0.517,0.4745,0.053
imgseg_benchmark_0091,PCA,0.6412,0.5373,0.002
imgseg_benchmark_0091,LODA,0.4942,0.4549,0.023
imgseg_benchmark_0092,KNN,0.4625,0.3956,0.0951
imgseg_benchmark_0092,LOF,0.506,0.4677,0.049
imgseg_benchmark_0092,PCA,0.6377,0.5619,0.003
imgseg_benchmark_0092,LODA,0.5731,0.4972,0.021
imgseg_benchmark_0093,KNN,0.4683,0.382,0.1001
imgseg_benchmark_0093,LOF,0.4696,0.4,0.05
imgseg_benchmark_0093,PCA,0.6486,0.526,0.002
imgseg_benchmark_0093,LODA,0.5412,0.54,0.02
imgseg_benchmark_0094,KNN,0.486,0.3694,0.1006
